timestamp,user_id,hour,minute,day_of_week,is_weekend,solar_generation_kw,solar_generation_kwh,consumption_kw,consumption_kwh,battery_capacity_kwh,battery_charge_kw,battery_discharge_kw,battery_power_kw,battery_soc_pct,battery_available_kwh,net_balance_kw,net_balance_kwh,grid_export_kw,grid_export_kwh,grid_import_kw,grid_import_kwh,carbon_offset_kg,cumulative_solar_kwh,cumulative_consumption_kwh,cumulative_carbon_offset_kg,user_type
2023-02-01 00:00:00,user_001,0,0,2,False,0.0,0.0,12.487080405518292,12.486964289836633,5.0,0.0,1.419,1.419,10.0,0.5,-11.068080405518291,-11.068080405518291,0.0,0.0,11.068080405518291,11.068080405518291,0.0,0.0,12.486964289836633,0.0,Prosumer
2023-02-01 01:00:00,user_001,1,0,2,False,0.0,0.0,14.075542930601891,14.075891277646864,5.0,0.0,0.0,0.0,10.0,0.5,-14.075542930601891,-14.075542930601891,0.0,0.0,14.075542930601891,14.075542930601891,0.0,0.0,26.562855567483496,0.0,Prosumer
2023-02-01 02:00:00,user_001,2,0,2,False,0.0,0.0,15.669811239768396,15.670275702495031,5.0,0.0,0.0,0.0,10.0,0.5,-15.669811239768396,-15.669811239768396,0.0,0.0,15.669811239768396,15.669811239768396,0.0,0.0,42.23313126997853,0.0,Prosumer
2023-02-01 03:00:00,user_001,3,0,2,False,0.0,0.0,15.61988149665539,15.620345959382023,5.0,0.0,0.0,0.0,10.0,0.5,-15.61988149665539,-15.61988149665539,0.0,0.0,15.61988149665539,15.61988149665539,0.0,0.0,57.85347722936055,0.0,Prosumer
2023-02-01 04:00:00,user_001,4,0,2,False,0.0,0.0,13.314985215740958,13.315449678467589,5.0,0.0,0.0,0.0,10.0,0.5,-13.314985215740958,-13.314985215740958,0.0,0.0,13.314985215740958,13.314985215740958,0.0,0.0,71.16892690782814,0.0,Prosumer
2023-02-01 05:00:00,user_001,5,0,2,False,0.0,0.0,15.839340134989309,15.839804597715942,5.0,0.0,0.0,0.0,10.0,0.5,-15.839340134989309,-15.839340134989309,0.0,0.0,15.839340134989309,15.839340134989309,0.0,0.0,87.00873150554408,0.0,Prosumer
2023-02-01 06:00:00,user_001,6,0,2,False,0.0,0.0,14.641026300277119,14.640794068913804,5.0,0.0,0.0,0.0,10.0,0.5,-14.641026300277119,-14.641026300277119,0.0,0.0,14.641026300277119,14.641026300277119,0.0,0.0,101.64952557445788,0.0,Prosumer
2023-02-01 07:00:00,user_001,7,0,2,False,0.02207781827381781,0.02228808320975893,13.381171154286106,13.381403385649424,5.0,0.0,0.0,0.0,10.0,0.5,-13.359093336012288,-13.359093336012288,0.0,0.0,13.359093336012288,13.359093336012288,0.011144041604879465,0.02228808320975893,115.0309289601073,0.011144041604879465,Prosumer
2023-02-01 08:00:00,user_001,8,0,2,False,0.3732202612954915,0.3735356586994032,30.791556462110293,30.790975883701996,5.0,0.0,0.0,0.0,10.0,0.5,-30.418336200814803,-30.418336200814803,0.0,0.0,30.418336200814803,30.418336200814803,0.1867678293497016,0.39582374190916214,145.8219048438093,0.19791187095458107,Prosumer
2023-02-01 09:00:00,user_001,9,0,2,False,0.4110679497648935,0.41064741989301123,29.321531932318013,29.321764163681326,5.0,0.0,0.0,0.0,10.0,0.5,-28.910463982553118,-28.910463982553118,0.0,0.0,28.910463982553118,28.910463982553118,0.20532370994650562,0.8064711618021734,175.14366900749064,0.4032355809010867,Prosumer
